Group,,Calculated Quantities,,,,,,,Geometry Calculations,,,User Categorised Properties
Unit Type,,Length,Length,Length,Area,Area,Volume,Area,Numeric,Numeric,Numeric,Text
Unit,,m,m,m,m2,m2,m3,m2,Ea.,Ea.,Ea.,
Owner ID,Property Owner Type,Bounding Box Height,Bounding Box Length,Bounding Box Width,Calculated Gross Area,Calculated Surface Area,Calculated Volume,Largest Projected Area,Max Z,Min Z,Triangle Count,Target Category
b0dbf595-b6b8-cd5d-0000-000000000078,Element,13.79,407.72,67.44,1339.83,1339.83,215.53,0,166.38,152.59,3588,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000007b,Element,13.19,407.72,67.44,905.92,905.92,50.17,0,165.58,152.39,18826,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000007d,Element,13.09,407.69,67.00,155.42,155.42,3.72,0,165.53,152.44,15230,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000007f,Element,2.15,113.05,1.60,306.45,306.45,49.75,0,162.54,160.39,400,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000080,Element,1.55,113.05,1.60,205.44,205.44,11.57,0,161.74,160.19,2052,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000081,Element,1.45,113.02,1.15,35.35,35.35,0.87,0,161.69,160.24,1644,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000082,Element,6.71,59.56,11.46,191.08,191.08,30.64,0,167.77,161.06,408,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000083,Element,6.11,59.56,11.46,128.89,128.89,7.13,0,166.97,160.86,2192,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000084,Element,6.01,59.08,11.19,22.08,22.08,0.53,0,166.92,160.91,1776,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000085,Element,8.06,474.96,4.53,1293.58,1293.58,209.05,0,166.58,158.52,1348,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000086,Element,7.46,474.96,4.53,872.68,872.68,48.65,0,165.78,158.32,6440,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000087,Element,7.36,474.95,4.08,149.89,149.89,3.65,0,165.73,158.37,5084,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000088,Element,5.11,321.4,54.86,946.99,946.99,153.74,0,164.9,159.79,2304,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000089,Element,4.51,321.4,54.86,636.01,636.01,35.76,0,164.1,159.59,11876,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000008a,Element,4.41,321.18,54.47,109.44,109.44,2.67,0,164.05,159.64,9564,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000008b,Element,9.69,275.56,25.06,862.28,862.28,138.07,0,169.06,159.37,3506,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000008c,Element,9.09,275.56,25.06,584.19,584.19,32.10,0,168.26,159.17,18376,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000008d,Element,8.99,275.11,24.61,100.02,100.02,2.41,0,168.21,159.22,14862,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000008e,Element,9.41,355.29,59.66,1106.48,1106.48,179.74,0,167.96,158.55,1228,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000008f,Element,8.81,355.29,59.66,743.12,743.12,41.79,0,167.16,158.35,6204,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000090,Element,8.71,355.21,59.21,127.90,127.90,3.12,0,167.11,158.4,4968,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000321,Element,9.12,314.64,59.95,865.19,865.19,114.93,0,168.7,159.58,4132,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000323,Element,8.52,314.64,59.95,546.01,546.01,25.95,0,167.9,159.38,21722,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000325,Element,8.42,314.38,59.69,112.61,112.61,2.76,0,167.85,159.43,17582,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000327,Element,16.54,844.71,52.36,2110.96,2110.96,281.17,0,169.46,152.92,4696,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000328,Element,15.94,844.71,52.36,1330.82,1330.82,63.67,0,168.66,152.72,24008,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000329,Element,15.84,844.66,52.03,274.63,274.63,6.69,0,168.61,152.77,19304,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000032a,Element,46.61,1905.5,408.50,5125.48,5125.48,674.69,0,166.74,120.13,9428,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000032b,Element,46.01,1905.5,408.50,3236.57,3236.57,149.04,0,165.94,119.93,48528,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000032c,Element,45.91,1905.31,408.24,667.76,667.76,14.76,0,165.89,119.98,38884,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000032d,Element,8.09,461.06,18.98,1112.79,1112.79,148.15,0,121.14,113.04,2124,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000032e,Element,7.49,461.06,18.98,701.52,701.52,33.46,0,120.34,112.84,10016,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000032f,Element,7.39,461.02,18.68,144.75,144.75,3.53,0,120.29,112.89,7884,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000380,Element,7.47,18.78,0.40,38.11,38.11,3.61,0,123.25,115.79,52,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000382,Element,7.31,18.78,0.40,38.78,38.78,2.26,0,122.77,115.47,280,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000384,Element,7.09,18.78,0.10,6.83,6.83,0.14,0,122.66,115.58,220,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000386,Element,1.59,27.7,0.40,49.75,49.75,5.32,0,158.48,156.89,252,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000387,Element,1.43,27.71,0.40,49.52,49.52,3.33,0,158,156.57,1280,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000388,Element,1.21,27.71,0.10,8.80,8.80,0.21,0,157.89,156.68,1020,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000389,Element,9.93,444.53,42.89,800.64,800.64,87.27,0,202.99,193.06,2016,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038a,Element,9.77,444.53,42.89,796.97,796.97,54.68,0,202.51,192.74,10356,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038b,Element,9.55,444.47,42.60,141.95,141.95,3.45,0,202.4,192.85,8332,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038c,Element,19.63,476.46,47.96,859.89,859.89,93.75,0,198.42,178.8,1804,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038d,Element,19.47,476.46,47.96,856.01,856.01,58.73,0,197.94,178.48,9186,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038e,Element,19.25,476.38,47.67,152.47,152.47,3.69,0,197.83,178.59,7374,CONDUIT
b0dbf595-b6b8-cd5d-0000-00000000038f,Element,10.86,414.33,10.36,732.14,732.14,79.71,0,179.27,168.41,2764,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000390,Element,10.7,414.33,10.36,728.87,728.87,49.97,0,178.79,168.09,13932,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000391,Element,10.48,414.29,10.06,129.82,129.82,3.28,0,178.68,168.2,11160,CONDUIT
b0dbf595-b6b8-cd5d-0000-000000000392,Element,2.19,1.86,0.40,4.19,4.19,0.36,0,134.64,132.46,12,CONDUIT
